               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.020572,           0.0029106,                   0,             0.99401,             0.99684,             0.99373,             0.73353,            0.017173,           0.0030609,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.020024,           0.0028827,                   0,              0.9954,              0.9985,             0.99417,             0.73752,            0.017248,           0.0029964,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.020115,           0.0028326,                   0,              0.9955,             0.99717,             0.99432,             0.73393,            0.017396,            0.003092,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.019985,           0.0029104,                   0,             0.99502,             0.99775,             0.99357,             0.74083,             0.01762,           0.0030336,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.019969,           0.0028387,                   0,             0.99439,             0.99925,              0.9943,             0.73561,            0.017535,           0.0030495,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.019848,           0.0028882,                   0,             0.99474,             0.99443,             0.99382,             0.72785,            0.017778,           0.0030459,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.019962,           0.0028588,                   0,             0.99436,              0.9985,             0.99383,             0.73793,            0.017443,           0.0030687,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.020019,           0.0028841,                   0,             0.99125,             0.99549,             0.99311,             0.72326,            0.018068,           0.0031315,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.020192,           0.0028451,                   0,             0.99558,             0.99624,             0.99366,             0.73996,            0.017348,           0.0030216,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.019699,           0.0028452,                   0,             0.99459,              0.9985,             0.99387,             0.74614,            0.017028,            0.003006,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.019809,           0.0028669,                   0,             0.99369,             0.99775,             0.99347,             0.74202,            0.017157,           0.0029935,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.019416,           0.0027764,                   0,             0.99483,             0.99775,             0.99339,             0.74172,            0.017378,           0.0029697,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.019561,           0.0028034,                   0,             0.99331,             0.99775,             0.99419,             0.74333,            0.017044,           0.0029863,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.019675,            0.002831,                   0,             0.99475,              0.9985,             0.99369,             0.74067,            0.016868,           0.0029691,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.019466,           0.0027941,                   0,             0.99475,             0.99689,             0.99359,             0.74584,            0.016449,           0.0029891,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.019529,            0.002834,                   0,             0.99314,             0.99775,             0.99364,             0.74345,            0.016941,           0.0029866,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.019404,           0.0027865,                   0,              0.9924,             0.99925,             0.99342,             0.74682,            0.016724,           0.0029701,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.019595,           0.0028076,                   0,             0.99166,             0.99925,             0.99344,             0.74093,            0.017146,           0.0029762,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.019971,            0.002806,                   0,             0.99375,             0.99699,             0.99311,             0.74638,            0.016936,           0.0029765,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.019537,           0.0028514,                   0,             0.99454,             0.99624,             0.99343,             0.74803,            0.016984,           0.0029733,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,             0.01932,           0.0028271,                   0,             0.99179,             0.99839,             0.99327,             0.74614,            0.016701,            0.002981,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.019837,           0.0028387,                   0,             0.99366,             0.99474,              0.9929,             0.74035,            0.016994,           0.0029929,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.020087,           0.0027912,                   0,             0.99296,             0.99699,             0.99429,             0.74437,            0.016709,           0.0029823,                   0,            0.008614,            0.008614,            0.008614
                  72,             0.01956,           0.0027938,                   0,              0.9914,             0.99624,             0.99371,             0.74278,             0.01671,           0.0030148,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.019339,           0.0027762,                   0,             0.99328,              0.9992,             0.99402,             0.74634,            0.016603,           0.0029566,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.019357,           0.0027514,                   0,             0.99456,             0.99699,             0.99323,             0.74726,            0.016768,           0.0029484,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.019139,           0.0027441,                   0,             0.99476,             0.99822,             0.99418,               0.745,            0.016916,           0.0029721,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.019563,           0.0027655,                   0,             0.99459,              0.9985,             0.99432,             0.74845,            0.016521,            0.002927,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.019166,           0.0027918,                   0,             0.99396,             0.99925,             0.99405,             0.74685,            0.016702,           0.0029259,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.019321,           0.0027809,                   0,             0.99527,              0.9985,             0.99372,             0.74773,             0.01645,           0.0029284,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.019347,           0.0028155,                   0,              0.9939,             0.99775,             0.99401,             0.74551,            0.016669,           0.0029249,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,             0.01897,            0.002803,                   0,             0.99495,             0.99699,             0.99411,             0.74266,            0.016305,           0.0029378,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,             0.01929,           0.0027838,                   0,             0.99476,             0.99771,             0.99398,             0.74365,             0.01649,           0.0029236,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.018739,            0.002746,                   0,              0.9946,             0.99775,             0.99393,             0.74747,            0.016534,           0.0029123,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.019306,           0.0027692,                   0,             0.99401,             0.99688,              0.9936,             0.74733,            0.016608,           0.0029089,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.018901,           0.0027269,                   0,             0.99476,             0.99848,             0.99385,             0.75077,            0.016433,           0.0028964,                   0,           0.0083566,           0.0083566,           0.0083566
